,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
SALE_SUCCESS,Sale successful,Vendu avec succès,Vendita riuscita,出售成功,Verkauf erfolgreich,Vendido exitosamente,판매 성공,,Eladás sikeres,売却しました,Verkoop succesvol,Успешная продажа
PURCHASE_SUCCESS,Purchase successful,Acheté avec succès,Acquista riuscita,购买成功,Kauf erfolgreich,Comprado exitosamente,구매 성공,,Vásárlás sikeres,購入しました,Aankoop succesvol,Успешная покупка
SELL,Sell,Vendre,Vendere,出售,Verkaufen,Vender,팔기,,Elad,売る,Verkoop,Продать
PURCHASE_SALE_IMPOSSIBLE,Purchase/sale impossible,Achat/vente impossible,Acquista/vendita impossibile,无法购买/出售,Kauft/Verkaufen unmöglich,Compra/venta imposible,구매/판매 불가,,Vásárlás/eladás nem lehetséges,購入・売却不可,Aan-/Verkoop onmogelijk,Покупка/продажа невозможна
CANT_BUY,Can't buy,Achat impossible,Acquista impossibile,无法购买,Kauf unmöglich,Compra imposible,구매 불가,,Nem lehet megvenni,購入できません,Aankoop niet mogelijk,Нельзя купить
CANT_SELL,Can't sell,Vente impossible,Vendita impossibile,无法出售,Verkauf unmöglich,Venta imposible,판매 불가,,Nem lehet eladni,売却できません,Verkoop niet mogelijk,Нельзя продать
CLICK_TO_HARVEST,Click to harvest,Cliquez pour récolter,Clicca per raccogliere,点击以收割,Klicken um zu ernten,Haz clic para cosechar,클릭하면 수확,,Kattints a beszedéshez,クリックで収穫,Klik om te oogsten,Нажмите чтобы собрать
CRAFT_SUCCESS,Craft successful,Fabriqué avec succès,Fabbricazione riuscita,制作成功,Herstellung erfolgreich,Fabricación exitosa,제작 성공,,Barkácsolás sikeres,クラフト成功,Productie succesvol,Успешный крафт
SCIENCE_TREE,Science tree,Arbre de science,Albero di scienza,科技树,Forschungszweige,Árbol científico,,,Tudományfa,サイエンスツリー,Technologieboom,Научное древо
SA_SC,Space agriculture,Agriculture spatiale,Agricoltura spaziale,太空农业,Weltraumlandwirtschaft,Agricultura espacial,,,Űrbéli agrikultúra,宇宙農業,Ruimte agricultuur,Космическое фермерство
SA_DESC,Unlocks greenhouses that allow you to grow metals.,,,允许你种植基本金属,Ermöglicht es dir grundlegende Metalle anzubauen.,Te permite cultivar metales básicos.,,,Megenmgedi az alapvető fémek termesztését.,基本的な鉱石を畑で育てることができるようになります。,Staat je toe basismetalen te verbouwen.,Позволяет выращивать базовые металлы.
RESEARCH_SUCCESS,Research done,Recherche terminée,Ricerca fatta,研究已完成！,Forschungsprojekt fertig,Investigación completa,연구 완료,,Kutatás kész,実施した研究,Ontwikkeling voltooid,Исследование завершено
USE_SPEEDUP_INFO,Click a building to accelerate construction,Cliquez un bâtiment pour accélerer sa construction,Clicca un edificio per accelerare la sua costruzione,点击施工中建筑来缩短建造时间,Klicke auf ein Gebäude um die Konstruktion zu beschleunigen ,Haz clic en un edificio para acelerar la construcción,가속화할 빌딩을 클릭하세요,,Kattints egy épületre az építkezés felgyorsításához,建設を加速する建物をクリック,Klik op een gebouw om de constructie te versnellen,Нажмите на здание чтобы ускорить строительство
USE_OVERCLOCK_INFO,Click a building to overclock,Cliquez un bâtiment à overclocker,Clicca un edificio per overcloccare,点击生产型建筑来增产,Klicke auf ein Gebäude um es zu übertakten,Haz clic en un edificio para hacer overclock,오버클럭할 빌딩을 클릭하세요,,Kattints egy épületre a gyorsításhoz,オーバークロックする建物をクリック,Klik op een gebouw om te overclocken,Нажмите на здание для разгона
RL_NAME,Research lab,Labo de recherche,Laboratorio di ricerca,科技实验室,Forschungslabor,Laboratorio de investigación,연구 실험실,,Kutatólabor,研究室,Onderzoekslab,Лаборатория
RL_NAME_S,Research labs,Labos de recherche,Laboratori di ricerca,科技实验室,Forschungslabore,Laboratorios de investigación,연구 실험실,,Kutratólaborok,研究室,Onderzoekslabs,Лаборатории
RL_DESC,Does research on its own,Fait de la recherche en autonomie,Fa ricerca da solo,它们可以进行自我探究生成许多科研报告,Erforscht selbstständig,Investiga por su cuenta,자기 혼자서 조사합니다,,Magától kutat,自社で研究を行っている,Doet zelfstandig onderzoek,Проводит исследования самостоятельно
MS_NAME,Mineral silo,Silo à minéraux,Magazzino di minerali,水晶仓库,Mineralien Silo,Silo de minerales,광물 사일로,,Ásványtároló,鉱物サイロ,Mineraal silo,Хранилище минералов
MS_NAME_S,Mineral silos,Silos à minéraux,Magazzini di minerali,水晶仓库,Mineralien Silos,Silos de minerales,광물 사일로,,Ásványtárolók,鉱物サイロ,Mineraal silos,Хранилища минералов
MS_DESC,Increases maximum storage of minerals,Augmente le stockage maximum de minéraux,Aumenta la capacità massima di minerali,增加水晶的最大库存,Erhöht das Lagervolumen von Mineralien,Incrementa el almacenamiento máximo de minerales,광물 저장 용량을 올립니다,,Megnöveli az ásványkapacitást,鉱物の最大貯蔵量を増加させる,Verhoogt de opslagcapaciteit van mineralen,Увеличивает максимальный запас минералов
REACH_X_TO_UNLOCK,Reach %s to unlock,Atteindre %s pour débloquer,Raggiungere %s per sbloccare,达成%s来解锁,Erreiche %s zum freischalten,Alcanza %s para desbloquear,,,Érd el ezt a megnyitáshoz: %s,%s でアンロックされます。,Bereik %s om te ontgrendelen,"Достигните %s, чтобы разблокировать"
GAME_SAVED,Game saved,Partie sauvegardée,Partita salvata,游戏保存成功,Spiel gespeichert,Juego guardado,게임 저장했습니다,,Játék elmentve,セーブしました,Spel opgeslagen,Игра сохранена
CAVE,Cave,Grotte,Grotta,山洞,Höhle,Cueva,동굴,,Barlang,洞窟,Grot,Пещера
CAVE_DESC,"You will need a rover to explore this cave. Start by constructing a research lab, then research the Rover construction science!","Il faut avoir un rover pour explorer cette grotte. D'abord il faut construire un labo de recherche, puis rechercher ""Construction des rovers"".","Ti serve un rover per esplorare questa grotta. Innanzitutto devi costruire un labo di ricerca, poi devi ricercare ""Costruzione dei rover"".",你需要一个矿车来探险这个洞穴。从建造一个科技实验室开始，然后研究发明漫游机器人的科学！,"Du benötigst einen Rover um diese Höhle zu erkunden. Beginne mit der Konstruktion eines Forschungslabors um dann ""Roverkonstruktion"" zu erforschen.",Necesitas un rover para explorar esta cueva. Empieza por construir un laboratorio y luego investiga construcción de rover!,,,"Kell egy róver a barlang felfedezéséhez. Építs egy kutatólabort, es kutatd meg a ""Róverépités"" tudományt!",この洞窟を探検するには、ローバーが必要です。まずは研究所の建設から始めて、ローバー建設学を研究してみよう,"Je hebt een rover nodig om deze grot te verkennen. Bouw eerst een onderzoekslab, en onderzoek dan de Roverconstructie tech!","Для исследования этой пещеры вам понадобится ровер. Начните со строительства исследовательской лаборатории, а затем изучите строительство ровера!"
TAKE_ALL,Press F to take all,Appuyez sur F pour tout prendre,Premere F per prendere tutto,按F全部取走,F um alles zu nehmen,Presiona F para agarrar todo,F 누르면 모두 가져갑니다,,F az összes elvételéhez,F:すべて取得,Druk op F om alles te nemen,Нажми F чтобы взять все
F_TO_EXIT,Press F to exit cave,Appuyez sur F pour sortir de la grotte,Premere F per uscire dalla grotta,按F离开洞穴,F um die Höhle zu verlasen,Presiona F para salir de la cueva,F 누르면 둥굴에서 나갑니다,,F a kilépéshez,F:洞窟から出る,Druk op F om de grot te verlaten,Нажми F для выхода из пещеры
F_TO_GO_DOWN,Press F to go down,Appuyez sur F pour descendre,Premere F per scendere,按F去下层,F um abzusteigen,Presiona F para bajar,F 누르면 내려갑니다,,F a lemenéshez,F:下の階へ,Druk op F om te dalen,Нажми F чтобы подняться
F_TO_GO_UP,Press F to go up,Appuyez sur F pour monter,Premere F per salire,按F回上层,F um aufzusteigen,Presiona F para subir,F 누르면 올라갑니다,,F a felmenéshez,F:上の階へ,Druk of F om te stijgen,Нажми F чтобы спуститься
WEIGHT_INV_FULL_CHEST,The rover is unable to take everything in the chest.,Le rover est incapable de stocker tout dans le coffre,,无法拿走箱子里的矿物，你的采矿箱满了,Dem Rover ist es unmöglich alles aus der Kiste zu nehmen,El rover no es capaz de tomar todo en el cofre.,,,A róver nem tud minden felvenni a ládából.,重量オーバーです。箱の中身をすべて回収できませんでした。,De rover kan niet alles uit de kist meenemen.,"Ровер не в состоянии взять все, что находится в сундуке."
WEIGHT_INV_FULL_MINING,The rover is unable to take everything you just mined.,Le rover est incapable de stocker tout ce que vous avez miné,Il rover non può più prendere tutto quello che ha appena scavato.,采矿箱已满,Dem Rover ist es unmöglich alles abgebaute zu nehmen,El rover no es capaz de llevar todo lo que acabas de minar.,,,"A róver nem tud mindent felvenni, amit kibányásztál.",重量オーバーです。溢れた素材を捨てました。,De rover kan niet alle ontginde materialen meenemen.,"Ровер не в состоянии забрать все, что вы только что добыли."
CAVE_FLOOR,Floor B%s,Étage B%s,Piano B%s,地下%s层,Ebene B%s,Piso B%s,지하 %s층,,%s. szint,地下%s階,Niveau %s,Этаж B%s
NUM_FLOORS,%s floors,%s étages,%s piani,%s 层,%s Ebenen,%s pisos,층 수: %s,,%s szintű,深さ:%s階,%s niveaus,%s этажей
FLOOR_SIZE,Floor size: {size}x{size},Dimensions des étages: {size}x{size},Dimensioni dei piani: {size}x{size},洞穴大小：{size}x{size},Ebengröße: {size}x{size},Tamaño del piso: {size}x{size},층 크기: {size}x{size},,Szintméret: {size}x{size},階層の広さ:{size}x{size},Niveau grootte: {size}x{size},Размер этажа: {size}x{size}
VEHICLES_ON_PLANET,Vehicles on this planet,Véhicules sur cette planète,Veicoli su questo pianeta,此行星上的交通载具,Fahrzeuge auf dem Planeten,Vehículos en este planeta,이 행성에 있는 차량,,Járművek ezen a bolygón,この惑星の乗り物,Voertuigen op deze planeet,Транспорта на этой планете
VEHICLES,Vehicles,Véhicules,Veicoli,交通设施,Fahrzeuge,Vehículos,차량,,Járművek ezen a bolygón,車両,Voertuigen,Транспорта на этой планете
ROVERS,Rovers,Rovers,Rover,矿车,Rover,Rovers,,,Róverek,ローバーズ,Rovers,Роверы
SHIP,Ship,Vaisseau,Navicella,宇宙飞船,Schiff,Nave,,,Űrhajó,艦船,Schip,Корабль
SHIPS,Ships,Vaisseaux,Navicelle,宇宙飞船,Schiffe,Naves,,,Űrhajók,艦船,Schepen,Корабли
VEHICLES_DESC,"Vehicles help you interact with the universe, such as exploring caves and conquering planets.","Les véhicules te permettent d'interagir avec l'univers (exploration des grottes, conquête des planètes etc.)","I veicoli ti permettono di interagire con l'universo (esplorazione delle grotte, conquista dei pianeti ecc.)",交通载具帮助你与宇宙互动，比如探险洞穴或征服星球。,"Fahrzeuge helfen dir mit dem Universum zu interagieren, wie die erkundung von Höhlen und das einnehmen von Planeten.","Los vehículos te permiten interactuar con el universo, ya sea explorando cuevas o conquistando planetas.",,,"A járművek segítenek az univerzum felfedezésében, például barlangok felfedezésében vagy bolygók elfoglalásában.",洞窟の探検や惑星の征服など、宇宙との関わりを深める乗り物。,"Voertuigen helpen je interageren met het universum, bv. bij het verkennen van grotten en veroveren van planeten.","Транспорт поможет вам взаимодействовать со вселенной, например, исследовать пещеры и покорять планеты."
RC_SC,Rover construction,Construction des rovers,Costruzione dei rover,矿车制作科学,Roverkonstruktion,Construcción de rover,,,Róverépítés,ローバー建設,Roverconstructie,Производство роверов
RCC_NAME,Rover construction center,Centre de construction des rovers,Centro di costruzione dei rover,矿车研制中心,Roverkonstruktionszentrum,Centro de construcción de rovers,,,Róverépítő,ローバー建設センター,Rover constructiecentrum,Центр производства роверов
RC_DESC,Explore caves with rovers!,Explorez des grottes avec des rovers!,Esplora grotte con i rover!,探索，发现！,Erkunde Höhlen mit Rovern,Explora cuevas con rovers!,,,Fedezz fel barlangokat róverekkel!,ローバーで洞窟を探検しよう,Verken grotten met rovers!,Исследуйте пещеры с помощью роверов!
MULT_ROVER_STAT_BY,Multiplies rovers' stats by %s,Multiplie les stats des rovers par %s,Moltiplica le stat dei rover per %s,%s倍的矿车属性加成,Multipliziert Rover eigenschaften mit %s,Multiplica las estadísticas de los rovers por %s,,,Megszorozza  a róver statisztikáit ennyivel: %s,ローバーの性能:%s倍,Vermenigvuldigt de eigenschappen van rovers met %s,Умножает характеристики роверов на %s
SA_DONE,You unlocked space agriculture! You can now craft seeds and fertilizers.,Vous avez débloqué l'agriculture spatiale ! Vous pouvez maintenant créer des graines et de l'engrais.,,你解锁了太空农业！现在你可以制取种子与肥料了,Du hast Weltraumlandwirtschaft freigeschaltet! Du kannst nun Samen und Dünger herstellen.,Haz desbloqueado la agricultura espacial! Ahora puedes fabricar semillas y fertilizantes.,,,Megnyitottad az űrbéli agrikultúrát! Muost már tudsz magokat ás trágyát barkácsolni.,宇宙農業が解禁されました。種や肥料を作ることができるようになりました。,Je hebt ruimte agricultuur ontgrendeld! Je kan nu zaden en meststof maken.,Вы разблокировали фермерство! Теперь вы можете производить семена и удобрения.
RC_DONE,You unlocked rover construction! You can now construct the rover construction center.,Vous avez débloqué la construction de rover ! Vous pouvez désormais construire le centre de construction de rovers.,,你解锁了矿车研发建筑！现在你可以建造矿车定制中心了,Du hast Roverkonstruktion freigeschaltet! Du kannst nun Roverkonstruktionzentren bauen.,Haz desbloqueado la construcción de rovers! Ahora puedes construir el rover en su centro de construcción.,,,Mengnyitottad a róverépítést! Most már tudsz róverépítőt építeni.,ローバー建設が解禁されました。ローバー建設センターが建設できるようになりました。,Je hebt roverconstructie ontgrendeld! Je kan nu het rover constructiecentrum bouwen.,Вы разблокировали производство роверов! Теперь вы можете построить центр производства роверов.
CONSTRUCT_ROVER,Construct a rover,Construire un rover,Costruire un rover,定制一款矿车,Konstruiere einen Rover,Construir un rover,,,Egy róver építése,ローバーを作る,Bouw een rover,Произвести ровер
STATS,Stats,Stats,Stat,属性,Eigenschaften,Estadísticas,,,Statisztikák,統計情報,Eigenschappen,Характеристики
LASER_WEAPON_DESC,Allows the rover to attack enemies with lasers.,Permet au rover d'attaquer les ennemis avec des lasers.,,离子脉冲攻击螺旋怪物,Ermöglicht es Rovern Gegnern mit Lasern anzugreifen,Permite al rover atacar enemigos con lásers.,,,Ezzel tud a róver támadni.,ローバーがレーザーで敵を攻撃できるようになります。,Laat de rover vijanden aanvallen met lasers.,Позволяет роверу атаковать врагов лазерами.
MINING_LASER_DESC,Allows the rover to mine rocks in caves.,Permet au rover de miner les roches dans les grottes.,,轻型射线凿开壁岩采矿,Ermöglicht es Rovern in Höhlen steine abzubauen,Le permite al rover minar rocas en las cuevas.,,,Ezzel tud a róver bányászni.,ローバーが洞窟の中で岩石を採掘できるようにする。,Laat de rover rotsen delven in grotten.,Позволяет роверу добывать камни в пещерах.
CLICK_TO_REMOVE,Click to remove,Cliquer pour retirer,Clicca per togliere,移除,Klicken um zu entfernen,Haz click para remover,클릭: 제거하기,,Kattints az eltüntetéshez,クリックすると削除されます,Klik om te verwijderen,Нажмите чтобы удалить
CLICK_TO_ADD_COMP,Click to add a component,Cliquer pour ajouter un composant,Clicca per aggiungere una componente,添加组件,Klicken um Komponenten hinzuzufügen,Haz clic para añadir un componente,,,Kattints egy komponens hozzáadásához,クリックすると、コンポーネントを追加できます。,Klik om een component toe te voegen,Нажмите чтобы добавить компонент
ROVER_UNDER_CONSTR,The rover is under construction!,Le rover est en construction!,Il rover è in costruzione!,矿车正在定制中！,Der Rover wird Konstruiert!,Este rover está siendo construido!,,,A róver építés alatt van,ローバーは建設中です,Deze rover is in aanmaak!,Ровер находится в стадии производства!
LASER,Laser,Laser,Laser,离子脉冲,Laser,Láser,레이저,,Lézer,レーザー,Laser,Лазер
MINING_LASER,Mining laser,Laser de minage,Laser di scavo,碎石射线,Abbaulaser,Láser de minería,,,Bányászlézer,鉱業用レーザー,Delflaser,Шахтерский лазер
COOLDOWN,Cooldown,Délai,,冷却时间,Abklingzeiten,Enfriamiento,,,,クールダウン,Afkoeltijd,Перезарядка
DAMAGE,Damage,Dégâts,Danno,伤害,Schaden,Daño,,,Sebzés,ダメージ,Schade,Урон
CLICK_TO_USE_ROVER,Click to use this rover to explore a cave,Cliquez pour utiliser ce rover comme explorateur de grotte,,单击左键以选择这个探测器去探索洞穴,Klicke um diesen Rover zur Höhlenerkundung zu nutzen,Haz clic en este rover para explorar una cueva,,,"Kattints, hogy ezzel a róverrel fedezz fel egy barlangot",クリックすると、このローバーで洞窟探検ができます。,Klik om met deze rover een grot te verkennen,Нажмите чтобы использовать этот ровер для исследования пещеры
CLICK_A_CAVE_TO_EXPLORE,Click a cave to explore,Cliquez la grotte à explorer,Clicca la grotta da esplorare,选择一座山洞以开始探索,Klicke um eine Höhle zu erkunden,Haz clic en una cueva para explorarla,,,Kattinbts egy barlangra a felfedezéshez,洞窟をクリックして探検,Klik op een grot om te verkennen,Нажмите на пещеру чтобы исследовать ее
RCC_DESC,Build rovers with this building.,Construisez des rovers avec ce bâtiment.,,在此建筑定制探测器。,Konstruiere Rover mit diesem Gebäude,Construye rovers en este edificio.,,,Epíts róvereket ezzel az épülettel.,この建物でローバーを作る。,Hier worden rovers gebouwd.,Производит роверы.
SHIFT_CLICK_TO_LOOT_ROVER,Shift click to take everything from the rover,Maj + clic pour prendre tout ce que le rover possède,,Shift+点击以从探测器上取走全部物品,Shift click um alles aus dem Rover zu entladen,Shift clic para agarrar todo del rover,,,Shift+kattints minden kivételéhez,Shiftキーを押しながらクリックすると、ローバーからすべてを取り出します。,Shift klik om alles uit de rover te halen,"Шифт клик, чтобы забрать все из ровера"
ROVER_REKT_TITLE,Rover destroyed,Rover détruit,Rover distrutto,探测器已被摧毁,Rover zerstört,Rover destruido,,,Róver elpusztítva,ローバー破壊,Rover vernietigd,Ровер уничтожен
LOST_RESOURCES,It lost half of each resource as a result (rounded down).,La moitié de chaque ressource a été perdue (arrondi à l'entier inférieur).,,你的探测器被敌人撞坏了！它损失了一半的各类战利品。,Es hat die hälfte(abgerundet) aller eingelagerten Ressourcen verloren.,"¡Tu rover ha sido destruido! como resultado, perdió la mitad de sus recursos (Redondeado).",,,Elvesztette mindennek a felét. (lekerekíte),その結果、各資源の半分を失いました（切り捨て）。,De helft van de grondstoffen zijn als resultaat verloren gegaan (naar beneden afgerond).,В результате он потерял половину каждого ресурса (округляется вниз).
YOU_MINED,You mined:,Vous avez miné: ,Hai minato:,你挖到了,Du hast abgebaut:,Minaste:,,,Ezt bányásztad:,以下を採掘:,Je delfde:,Добыто:
TIER_X_CHEST,Tier %s chest,Coffre de rang %s,Forziere rango %s,%s级宝藏箱,Rang %s Truhe,Cofre de rango %s,,,%s. szintű kincsesláda,Tier %s 箱,Rang %s kist,Сундук уровня %s 
HX_CORE,Helix core,Noyau Helix,Nucleo Helix,α螺旋核心,Helix Kern,Núcleo Helix,핼릭스 핵,,Hélixmag,螺旋コア,Helixkern,Спиральное ядро
HX_CORE2,Green Helix core,Noyau Helix vert,Nucleo Helix verde,β螺旋核心,Grüner Helix Kern,Núcleo Helix verde,초록 핼릭스 핵,,Zöld hélixmag,グリーン螺旋コア,Groene Helixkern,Зеленое спиральное ядро
HX_CORE3,Blue Helix core,Noyau Helix bleu,Nucleo Helix blu,γ螺旋核心,Blauer Helix Kern,Núcleo Helix azul,파란 핼릭스 핵,,Kék hélixmag,ブルー螺旋コア,Blauwe Helixkern,Синее спиральное ядро
HX_CORE4,Purple Helix core,Noyau Helix violet,Nucleo Helix viola,δ螺旋核心,Lila Helix Kern,Núcleo Helix purpura,보라 핼릭스 핵,,Lila hélixmag,パープル螺旋コア,Paarse Helixkern,Фиолетовое спирально ядро
ITEMS_COLLECTED,Items collected,Objets collectés,Oggetti raccolti,物品已收集,Objekt eingesammelt,Objetos recolectados,,,,アイテムを回収,Items verzameld,Собранные предметы
SETTINGS,Settings,Paramètres,Impostazioni,设置,Einstellungen,Ajustes,설정,,Beállítások,設定,Instellingen,Настроки
MASTER,Master,Principal,Principale,主音量,Allgemein,Todo,,,Mind,マスター,Algemeen,Общее
MUSIC,Music,Musique,Musica,音乐,Music,Música,음악,,Zene,音楽,Muziek,Музыка
SFX,Sounds,Sons,Suoni,音效,Soundeffekte,Sonidos,,,Hangok,効果音,Geluiden,Звуки
HOLE_DEPTH,Hole depth,Profondeur du trou,Profondità del buco,深度,Lochtiefe,Profundidad,구멍 크기,,Lyukmélység,穴の深さ,Gat diepte,Глубина
SPEED_MULTIPLIER,Speed multiplier,Multiplicateur de vitesse,Moltiplicatore di velocità,速度倍率,Geschwindikeitsmultiplikator,Multiplicador de velocidad,속도 승수,,Sebességszorzó,速度倍率,Snelheidsvermenigvuldiger,Множитель скорости
COSTS,Costs,Coûts,Costi,花费,Kosten,Costos,비용,,Árak,費用,Kost,Стоимость
MINERAL_UPGRADES,Mineral upgrades,Améliorations minéraux,Miglioramenti minerali,特殊升级（需要水晶）,Mineralverbesserung,Mejora de minerales,,,Ásványfeljesztések,鉱物資源のアップグレード,Mineraal upgrades,Минеральные улучшения
MU_DESC,Improve various areas of the game using minerals.,Améliorez différentes parties du jeu en échange de minéraux.,,利用特殊升级改善各个领域的属性加成,Verbessert verschiedene Teile des Spiels mithilfe Mineralien,Mejora algunas áreas del juego usando minerales.,,,Feljeszd a játék területeit ásványokkal.,鉱物を使っていろいろなところを改善する。,Gebruik mineralen om verschillende aspecten van het spel te verbeteren.,Улучшайте различные области игры с помощью минералов.
MV_NAME,Mineral value,Valeur des minéraux,Valore dei minerali,水晶单价,Mineralienwert,Valor del mineral,,,Ásványérték,鉱物価値,Mineraalwaarde,Стоимость минерала
MV_DESC,The amount of money you get per mineral sold.,Le montant d'argent que vous obtenez par minerai vendu.,,你每卖出一块水晶能赚多少钱,Die menge an Geld die du pro verkauftes Mineral erhälst.,La cantidad de dinero que obtienes por mineral vendido.,,,Ennyiért tudsz egy ásványt eladni.,鉱物1個当たりの売却金額。,Hoeveel geld je krijgt per verkocht mineraal.,"Количество денег, которое вы получаете за каждый проданный минерал."
UPGRADE_NOUN,Upgrade,Amélioration,Miglioramento,升级,Verbessern,Mejora,,,Feljesztés,アップグレード,Upgrade,Улучшить
EFFECTS,Effects,Effets,Effetti,效果,Effekte,Efectos,,,Hatás,効果,Effecten,Эффект
UPGRADE_COST,Upgrade cost,Coût de l'amélioration,Costo di miglioramento,升级花费,Verbesserungs Kosten,Costo de mejora,,,Feljesztés ára,アップグレードコスト,Upgradekost,Стоимость улучшения
NOT_ENOUGH_MINERALS,You don't have enough minerals.,Vous n'avez pas assez de minéraux.,Non hai abbastanza minerali.,你没有足够多的水晶,Du hast nicht genug Mineralen.,No tienes suficientes minerales.,광물이 부족합니다.,,Nincs elég ásványod.,鉱物が不足しています,Je hebt niet voldoende mineralen,У вас недостаточно минералов.
MSMB_NAME,Mining speed multiplier boost,,Potenziamento molt. di velocità di scavo,挖矿速度提升,Abbau geschwindigkeits Multiplikator,Multiplicador de velocidad minera,,,Bányaszsebességszorzó növelése,マイニングスピードの倍率アップ,Delfsnelheidvermenigvuldiger boost,Множитель ускорения скорости добычи
MSMB_DESC,This multiplies the speed multiplier in mining (that appears when playing the minigame).,,Questo moltiplica il moltiplicatore di velocità di scavo (che appare mentre giochi al mini gioco),这将使挖掘中的速度提升(手动挖矿时生效),Dies Multipliziert den Geschwindigkeitsmultiplikator beim Abbau (der auftritt im Minispiel),Multiplica la mejora de velocidad de minado que aparece con el minijuego.,,,Megnöveli a bányászsebességszorzót (amelyik a minijátékból jön),採掘スピードの倍率（採掘ミニゲームをプレイしているときに表示）を増加します。,Dit vermenigvuldigt de snelheid van het delven tijdens de minigame.,Увеличивает множитель скорости в добыче (мини-игра при ручной добыче).
CRATER,Crater,Cratère,Cratere,陨石坑,Krater,Cráter,충돌구,,Kráter,クレーター,Krater,Кратер
CRATER_DESC,"Craters are formed by asteroids, containing valuable resources, that hit planets. Mining craters gives you much more of a specific metal.","Les cratères sont formées par des astéroïdes, qui contiennent des ressources de valeur. Lors de son minage, vous trouverez une quantité beaucoup plus importante d'un métal spécifique.",,陨石坑由彗星撞击形成，富含宝贵的资源。挖掘陨石坑能让你获得更多特有的金属。,"Krater werden durch Asteroieden geformt,sie enthalten wertvolle Ressourcen. Kraterabbau gibt die mehr eines speziefischen Metalls.",Los cráteres son formados por asteroides ricos en recursos que impactan contra el planeta. Minarlos te rendirá una gran cantidad de un metal específico.,,,A krátereket értékes anyagokat tartalmazó aztreroidák csinálják. Ezeket bányászva sokkat többet kaphatsz egy bizonyos anyagból.,クレーターは、貴重な資源を含む小惑星が惑星に衝突してできたものです。クレーターを採掘すると、特定の金属をより多く手に入れることができます。,"Kraters worden gevormd door asteroïden, die waardevolle grondstoffen bevatten, die op planeten inslaan. Kraters delven levert extra metaal van een bepaald type op. ","Кратеры образуются в результате столкновения с планетами астероидов, содержащих ценные ресурсы. Добывая кратеры, вы получаете гораздо больше определенного металла."
PRODUCTION,Production,Production,Produzione,生产加工,Produktion,Producción,,,Produkcíó,プロダクション,Productie,Производство роверов
PRODUCTION_DESC,These are buildings that transform resources.,Ce sont des bâtiments qui transforment les ressources.,Questi sono edifici che trasformano risorse.,这里的建筑可以转化你的资源,Dies sind Gebäude die Ressourcen umwandeln.,Edificios que transforman recursos.,,,Ezek az épületek átalakítják az anyagokat.,これらは、資源を変換する建物です。,Dit zijn gebouwen die grondstoffen omzetten.,"Это здания, которые преобразуют ресурсы."
METAL_CRATER,{metal} {crater},{crater} en {metal},{crater} di {metal},{metal} {crater},{metal} {crater},{crater} de {metal},{metal} {crater},,{metal}{crater},{metal}{crater},{metal} {crater},{metal} {crater}
SC_NAME,Stone crusher,Concasseur de pierre,Spaccarocce,石材精炼厂,Steinmahlwerk,Pulverizador de piedra,,,Kőzúzó,石材破砕機,Steenverbrijzelaar,Каменная дробилка
SC_DESC,Crushes stone to bits and extracts usable resources.,Écrase de la pierre et en extrait des ressources.,Estrae risorse usabili spaccando rocce.,将石头碾成碎块儿并提取有用的矿石,Zermahlt Stein zu staub und extrahiert wertvolle ressourcen.,Rompe la piedra en pedacitos para extraer recursos más útiles.,,,Szétzúzza a követ és kivonja belőle az értékes anyagokat.,石を細かく砕き、有用な資源を取り出す。,Verbrijzelt steen en levert bruikbare grondstoffen op.,Дробит камень на куски и извлекает полезные ресурсы.
CRUSHES_X,Crushes %s,Écrase %s,Spacca %s,碾碎速度 %s,Mahlt %s,Pulveriza %s,,,Ennyit zúz: %s,破砕速度: %s,Verbrijzelt %s,Дробит %s
CAN_STORE_UP_TO,Can store up to %s,Peut stocker jusqu'à %s,Può contenere %s,碾仓容量 %s,Kann bis zu %s lagern,Puede almacenar hasta %s,%s 까지 저장할수 있음,,Ennyit tárol: %s,格納容量: %s,Capaciteit: %s,Может хранить до %s
TIME,Time,Temps,Tempo,用时,Zeit,Tiempo,시간,,Idő,時間,Tijd,Время
CLICK_TO_CONFIGURE,Click to configure,Cliquez pour configurer,Clicca per configurare,单击以配置,Klicke zum konfigurieren,Haz clic para configurar,,,Kattints a beállításhoz,クリックすると設定されます,Klik om te configureren,Нажмите для настройки
STONE_COMPOSITION,Stone composition,Composition de pierre,Composizione di pietra,石材成分,Steinzusammensetzung,Composición de la piedra,,,Kőösszetétel,石の組成,Samenstelling van steen,Состав камня
START_CRUSHING,Start crushing,Écraser,Avviare,开始碾碎,Beginnt Mahlen,Iniciar pulverización,,,Zúzás kezdése,粉砕開始,Begin met verbrijzelen,Начать дробление
STOP_CRUSHING,Stop crushing,Arrêter,Interrompere,停止碾碎,Stoppt Mahlen,Detener pulverización,,,Zúzás megállítása,粉砕停止,Stop met verbrijzelen,Остановить дробление
EXPECTED_RESOURCES,Expected resources,Ressources attendues,Risorse previste,预期提炼,Erwartete Ressourcen,Resultados esperados,,,,期待されるリソース,Verwachtte grondstoffen,Ожидаемые ресурсы
RESOURCES_EXTRACTED,Resources extracted,Ressources extraites,Risorse estratte,资源已提取,Extrahiert Ressourcen,Recursos extraídos,,,Kivont anyagok,資源を抽出した,Geëxtraheerde grondstoffen,Извлеченные ресурсы
